...1,country_name,country_id,year,v2x_polyarchy,v2x_libdem,v2x_partipdem,v2x_delibdem,v2x_egaldem,v2x_freexp_altinf,v2x_frassoc_thick,v2x_jucon,v2xlg_legcon,v2xel_frefair,v2x_liberal,v2x_partip,v2x_cspart,v2xdl_delib,v2x_suffr,PC1
0,Mexico,3,2017,0.635,0.439,0.405,0.487,0.331,0.771,0.802,0.709,0.647,0.737,0.648,0.582,0.678,0.756,1,0.559697887
1,Mexico,3,2018,0.675,0.455,0.426,0.488,0.371,0.842,0.799,0.662,0.58,0.778,0.62,0.569,0.651,0.684,1,0.780777859
2,Mexico,3,2019,0.685,0.434,0.416,0.425,0.395,0.795,0.832,0.687,0.413,0.807,0.567,0.536,0.556,0.557,1,0.671896655
3,Mexico,3,2020,0.663,0.406,0.408,0.407,0.371,0.757,0.812,0.606,0.448,0.809,0.544,0.545,0.566,0.555,1,0.490389654
4,Mexico,3,2021,0.618,0.37,0.394,0.383,0.332,0.76,0.755,0.527,0.473,0.762,0.523,0.575,0.512,0.561,1,0.202841862
5,Mexico,3,2022,0.586,0.334,0.406,0.358,0.315,0.7,0.763,0.494,0.395,0.726,0.488,0.648,0.497,0.546,1,0.036014155
6,Mexico,3,2023,0.549,0.307,0.387,0.333,0.297,0.665,0.734,0.469,0.357,0.689,0.473,0.656,0.511,0.537,1,-0.195760854
7,Mexico,3,2024,0.505,0.251,0.345,0.26,0.268,0.671,0.697,0.401,0.272,0.595,0.397,0.617,0.399,0.423,1,-0.647866379
8,Suriname,4,2017,0.757,0.632,0.479,0.61,0.56,0.863,0.87,0.836,0.834,0.851,0.829,0.561,0.756,0.797,1,1.919853643
9,Suriname,4,2018,0.76,0.622,0.481,0.611,0.563,0.869,0.87,0.836,0.775,0.851,0.804,0.561,0.756,0.797,1,1.919895113
10,Suriname,4,2019,0.756,0.593,0.476,0.602,0.553,0.857,0.87,0.829,0.713,0.851,0.763,0.559,0.756,0.787,1,1.81712208
11,Suriname,4,2020,0.76,0.641,0.483,0.562,0.55,0.865,0.872,0.863,0.871,0.855,0.839,0.564,0.777,0.711,1,1.844503801
12,Suriname,4,2021,0.764,0.643,0.496,0.601,0.56,0.855,0.887,0.814,0.871,0.857,0.841,0.581,0.819,0.764,1,1.972919243
13,Suriname,4,2022,0.78,0.655,0.506,0.613,0.579,0.885,0.887,0.837,0.871,0.857,0.838,0.583,0.827,0.764,1,2.100992166
14,Suriname,4,2023,0.768,0.639,0.497,0.599,0.564,0.881,0.865,0.82,0.788,0.863,0.825,0.581,0.816,0.764,1,1.979206124
15,Suriname,4,2024,0.768,0.637,0.497,0.599,0.575,0.881,0.865,0.848,0.759,0.863,0.821,0.581,0.816,0.764,1,1.996519799
16,Sweden,5,2017,0.917,0.884,0.656,0.875,0.838,0.973,0.937,0.974,0.975,0.964,0.974,0.646,0.944,0.966,1,4.025665891
17,Sweden,5,2018,0.91,0.878,0.654,0.867,0.833,0.968,0.936,0.974,0.982,0.961,0.978,0.652,0.944,0.966,1,3.975010303
18,Sweden,5,2019,0.902,0.871,0.65,0.835,0.826,0.968,0.935,0.974,0.987,0.948,0.979,0.655,0.949,0.932,1,3.869593894
19,Sweden,5,2020,0.902,0.87,0.649,0.838,0.826,0.967,0.935,0.974,0.987,0.948,0.979,0.655,0.949,0.938,1,3.871012756
20,Sweden,5,2021,0.903,0.869,0.651,0.84,0.828,0.969,0.935,0.966,0.987,0.948,0.976,0.655,0.949,0.938,1,3.882893749
21,Sweden,5,2022,0.896,0.864,0.645,0.813,0.816,0.967,0.925,0.977,0.987,0.948,0.98,0.656,0.954,0.91,1,3.777669041
